date,station,city,state_id,lat,lon,station_type,pm25,pm10,no2,so2,co,o3,aqi,temp,humidity,wind_speed
2023-01-01,ITO,New Delhi,dl,28.63,77.24,urban,185.1,301.2,89.46699487422912,15.8,2.17,11.4,350,12.0,60.0,7.3
2023-01-01,Anand Vihar,New Delhi,dl,28.65,77.32,industrial,268.0,511.1,92.2,21.86498759678061,3.02,16.6,414,8.9,57.2,6.0
2023-01-01,RK Puram,New Delhi,dl,28.56,77.17,residential,177.1,269.0,70.8,9.8,1.91,17.5,344,9.4,63.6,4.7
2023-01-01,Lucknow Central,Lucknow,up,26.85,80.95,urban,142.8,274.8,54.04571836214923,13.5,1.75,23.0,318,13.5,59.0,5.9
2023-01-01,Noida Sec-62,Noida,up,28.63,77.37,urban,195.2,327.9,79.96977822049114,19.6,2.23,12.2,358,11.0,58.4,3.8
2023-01-01,Patna Airport,Patna,br,25.59,85.09,urban,154.4,288.1,63.228519201898095,12.7,1.71,27.9,326,13.7,58.4,6.4
2023-01-01,Kolkata Victoria Mem,Kolkata,wb,22.54,88.34,urban,119.5,194.6,49.345475897405436,7.3,1.47,25.4,298,17.4,58.3,7.6
2023-01-01,Bandra Mumbai,Mumbai,mh,19.06,72.84,urban,60.8,101.8,27.009094121737938,6.2,0.76,22.0,103,14.0,57.2,5.3
2023-01-01,Pune IITM,Pune,mh,18.54,73.81,suburban,36.3,76.0,9.8,7.7,0.46,32.9,60,14.6,58.0,7.8
2023-01-01,Ahmedabad CEPT,Ahmedabad,gj,23.04,72.55,urban,113.4,209.7,42.633890507510905,7.2,1.36,41.0,278,12.5,56.7,7.7
2023-01-01,Chandigarh Sec-25,Chandigarh,hr,30.74,76.79,urban,176.4,346.1,68.60353672195177,16.8,2.12,37.7,343,11.3,65.6,2.4
2023-01-01,Amritsar RSPCB,Amritsar,pb,31.63,74.87,urban,189.6,400.6,75.15990463316614,19.8,2.42,17.9,354,9.3,52.6,5.4
2023-01-01,Jaipur Adarsh Nagar,Jaipur,rj,26.92,75.79,urban,201.5,351.8,92.49931069089976,16.9,2.58,23.9,363,12.6,53.2,5.9
2023-01-01,Bhopal TT Nagar,Bhopal,mp,23.24,77.41,urban,107.1,175.8,41.60217384451559,12.4,1.41,29.8,257,18.8,60.0,4.4
2023-01-01,Ranchi HEC,Ranchi,jh,23.36,85.33,industrial,137.6,224.1,62.0,20.746194242907535,1.55,23.3,314,13.2,63.2,6.2
2023-01-01,Raipur IGSV,Raipur,ct,21.24,81.63,urban,83.4,158.7,14.78417871151959,4.4,1.11,39.5,178,14.3,60.8,7.0
2023-01-01,Bengaluru Silk Board,Bengaluru,ka,12.92,77.62,traffic,56.4,95.0,29.313491047618307,3.6,0.66,46.4,94,19.6,70.0,4.1
2023-01-01,Chennai Alandur,Chennai,tn,13.0,80.21,urban,55.9,101.1,33.08635399972179,1.0,1.07,28.8,93,23.1,53.8,5.6
2023-01-01,Hyderabad Zoo Park,Hyderabad,tg,17.35,78.45,urban,88.5,162.7,34.36707825494564,11.0,1.01,16.9,195,16.6,65.0,5.9
2023-01-01,Visakhapatnam GVM,Visakhapatnam,ap,17.72,83.3,industrial,39.5,62.3,13.0,16.452125536040903,0.72,36.5,66,18.3,61.7,4.0
2023-01-01,Bhubaneswar IIEST,Bhubaneswar,or,20.3,85.82,urban,70.5,117.1,34.147062577364274,7.0,1.15,30.3,135,18.0,56.8,3.5
2023-01-01,Guwahati Railway,Guwahati,as,26.19,91.75,urban,186.1,254.0,87.56096447855094,16.7,2.29,12.0,351,17.7,66.3,2.2
2023-01-01,Dehradun ISBT,Dehradun,ut,30.32,78.03,urban,183.9,378.1,68.67233063631504,14.5,2.19,22.2,349,9.4,52.7,1.0
2023-01-01,Shimla Ridge,Shimla,hp,31.1,77.17,residential,171.0,250.3,57.8,9.9,1.86,25.9,339,13.3,58.3,7.3
2023-01-01,Ernakulam South,Kochi,kl,9.98,76.3,urban,67.0,95.2,31.435456890877823,5.9,0.52,29.6,123,24.4,53.8,4.3
2023-01-01,Panaji Altinho,Panaji,ga,15.49,73.83,urban,60.6,132.8,28.845950198860166,3.4,0.67,36.1,102,19.6,66.0,2.9
2023-01-02,ITO,New Delhi,dl,28.63,77.24,urban,209.7,328.8,89.90116241871442,19.1,2.38,9.7,369,10.9,67.5,3.3
2023-01-02,Anand Vihar,New Delhi,dl,28.65,77.32,industrial,300.9,641.5,107.3,33.62235138937139,4.01,17.4,439,9.0,57.5,8.5
2023-01-02,RK Puram,New Delhi,dl,28.56,77.17,residential,203.8,426.9,85.8,13.8,2.49,15.9,364,10.4,61.7,5.2
2023-01-02,Lucknow Central,Lucknow,up,26.85,80.95,urban,181.9,394.1,83.89678384360062,18.2,2.15,18.5,348,12.2,61.5,4.8
2023-01-02,Noida Sec-62,Noida,up,28.63,77.37,urban,206.9,300.2,85.73677314194991,13.7,2.33,6.4,367,13.5,58.2,8.1
2023-01-02,Patna Airport,Patna,br,25.59,85.09,urban,244.6,446.2,84.40628504432999,18.8,2.99,11.0,396,11.7,54.7,8.6
2023-01-02,Kolkata Victoria Mem,Kolkata,wb,22.54,88.34,urban,85.9,137.3,42.45655202525947,9.1,1.18,38.5,186,13.7,64.1,3.4
2023-01-02,Bandra Mumbai,Mumbai,mh,19.06,72.84,urban,60.0,82.8,40.09984781195682,2.9,0.54,22.8,100,17.0,47.8,5.7
2023-01-02,Pune IITM,Pune,mh,18.54,73.81,suburban,38.6,49.6,12.4,1.0,0.78,36.4,64,13.8,59.0,6.3
2023-01-02,Ahmedabad CEPT,Ahmedabad,gj,23.04,72.55,urban,107.8,193.0,44.3444101099772,7.3,1.2,23.6,259,12.3,58.7,7.9
2023-01-02,Chandigarh Sec-25,Chandigarh,hr,30.74,76.79,urban,230.3,468.4,92.55886681706531,21.9,2.7,18.0,385,11.1,61.7,3.2
2023-01-02,Amritsar RSPCB,Amritsar,pb,31.63,74.87,urban,190.1,406.3,69.41425925810437,11.6,2.07,5.0,354,10.1,48.3,3.7
2023-01-02,Jaipur Adarsh Nagar,Jaipur,rj,26.92,75.79,urban,180.1,289.6,87.05813684297166,10.2,2.12,13.4,346,13.4,57.6,6.6
2023-01-02,Bhopal TT Nagar,Bhopal,mp,23.24,77.41,urban,95.8,145.6,57.864191416945516,10.5,1.23,14.7,219,13.9,59.9,7.0
2023-01-02,Ranchi HEC,Ranchi,jh,23.36,85.33,industrial,140.2,279.6,38.4,19.517588026718247,1.7,28.9,316,10.4,63.4,4.4
2023-01-02,Raipur IGSV,Raipur,ct,21.24,81.63,urban,84.7,160.1,44.55835976046637,9.4,1.05,23.2,182,13.6,61.3,6.9
2023-01-02,Bengaluru Silk Board,Bengaluru,ka,12.92,77.62,traffic,86.0,117.2,41.771020463403126,5.9,0.95,25.0,187,19.7,56.0,5.9
2023-01-02,Chennai Alandur,Chennai,tn,13.0,80.21,urban,57.5,98.1,12.522715317823806,5.1,0.71,5.0,96,17.4,54.2,7.3
2023-01-02,Hyderabad Zoo Park,Hyderabad,tg,17.35,78.45,urban,47.7,98.7,20.203800173203323,4.7,0.66,29.0,80,15.1,60.0,8.0
2023-01-02,Visakhapatnam GVM,Visakhapatnam,ap,17.72,83.3,industrial,68.4,129.0,20.0,14.780987496576065,0.35,40.9,128,17.5,52.9,0.5
2023-01-02,Bhubaneswar IIEST,Bhubaneswar,or,20.3,85.82,urban,82.8,118.4,24.519013054459766,7.4,0.61,29.4,176,15.3,67.1,4.6
2023-01-02,Guwahati Railway,Guwahati,as,26.19,91.75,urban,182.7,305.4,77.19575626999577,15.2,2.11,27.9,348,12.3,62.2,2.2
2023-01-02,Dehradun ISBT,Dehradun,ut,30.32,78.03,urban,159.8,346.0,80.78172906448256,9.6,1.94,15.0,331,9.3,64.1,2.0
2023-01-02,Shimla Ridge,Shimla,hp,31.1,77.17,residential,205.9,321.7,74.5,15.9,2.5,20.7,366,9.5,60.6,8.5
2023-01-02,Ernakulam South,Kochi,kl,9.98,76.3,urban,55.3,108.3,34.980625777770314,8.5,0.83,16.1,92,21.3,55.8,2.3
2023-01-02,Panaji Altinho,Panaji,ga,15.49,73.83,urban,33.8,51.2,31.96206030130088,1.0,0.29,22.2,56,17.9,58.3,3.2
2023-01-03,ITO,New Delhi,dl,28.63,77.24,urban,178.9,288.8,72.39554741255053,9.4,2.07,20.5,345,12.9,50.1,5.3
2023-01-03,Anand Vihar,New Delhi,dl,28.65,77.32,industrial,283.5,463.7,102.3,28.041483672560638,3.53,5.0,426,11.3,64.4,4.6
2023-01-03,RK Puram,New Delhi,dl,28.56,77.17,residential,154.6,313.7,55.0,9.3,1.75,18.8,327,12.2,69.4,6.5
2023-01-03,Lucknow Central,Lucknow,up,26.85,80.95,urban,148.7,262.1,62.63609074292533,14.2,1.99,12.8,322,18.6,64.4,7.3
2023-01-03,Noida Sec-62,Noida,up,28.63,77.37,urban,148.6,229.5,60.227210040193285,17.7,1.32,18.2,322,14.3,51.8,2.9
2023-01-03,Patna Airport,Patna,br,25.59,85.09,urban,204.1,318.6,74.23813548326434,16.5,2.46,7.6,365,14.0,57.2,6.4
2023-01-03,Kolkata Victoria Mem,Kolkata,wb,22.54,88.34,urban,76.6,130.7,22.878280266467314,3.0,0.71,40.9,155,13.8,51.2,4.2
2023-01-03,Bandra Mumbai,Mumbai,mh,19.06,72.84,urban,67.3,100.2,41.98957722069623,3.1,0.74,36.1,124,18.6,54.4,0.5
2023-01-03,Pune IITM,Pune,mh,18.54,73.81,suburban,30.5,49.8,12.8,1.4,0.5,53.4,51,19.5,61.5,2.8
2023-01-03,Ahmedabad CEPT,Ahmedabad,gj,23.04,72.55,urban,145.2,281.2,65.66268830412557,7.3,1.8,24.7,319,13.8,52.0,3.5
2023-01-03,Chandigarh Sec-25,Chandigarh,hr,30.74,76.79,urban,180.3,298.9,86.97733094400353,12.2,2.43,9.4,346,15.3,60.6,2.7
2023-01-03,Amritsar RSPCB,Amritsar,pb,31.63,74.87,urban,172.6,291.3,69.04596252329105,18.2,2.05,11.4,340,9.6,59.9,6.8
2023-01-03,Jaipur Adarsh Nagar,Jaipur,rj,26.92,75.79,urban,180.6,364.5,87.17672760844448,10.2,2.28,29.5,347,16.2,55.2,4.1
2023-01-03,Bhopal TT Nagar,Bhopal,mp,23.24,77.41,urban,114.7,224.2,68.02929878484167,7.7,1.4,24.3,282,12.3,56.9,2.7
2023-01-03,Ranchi HEC,Ranchi,jh,23.36,85.33,industrial,133.1,291.0,56.7,15.68240891592894,1.9,34.6,310,11.5,56.7,8.5
2023-01-03,Raipur IGSV,Raipur,ct,21.24,81.63,urban,72.9,133.4,27.585558497717674,1.0,0.49,27.2,143,15.4,53.6,4.6
2023-01-03,Bengaluru Silk Board,Bengaluru,ka,12.92,77.62,traffic,43.4,75.2,31.774984276205714,1.5,0.46,30.9,72,18.9,57.8,1.9
2023-01-03,Chennai Alandur,Chennai,tn,13.0,80.21,urban,53.0,108.4,8.153286496164235,7.7,0.69,24.0,88,17.3,61.9,3.5
2023-01-03,Hyderabad Zoo Park,Hyderabad,tg,17.35,78.45,urban,40.3,73.6,26.943612187715487,1.0,0.58,25.5,67,19.9,52.4,1.8
2023-01-03,Visakhapatnam GVM,Visakhapatnam,ap,17.72,83.3,industrial,79.1,131.5,39.3,12.058990998376867,0.54,38.5,164,18.3,73.3,1.7
2023-01-03,Bhubaneswar IIEST,Bhubaneswar,or,20.3,85.82,urban,86.4,121.0,27.53678551661706,4.7,0.63,45.5,188,16.8,56.8,6.9
2023-01-03,Guwahati Railway,Guwahati,as,26.19,91.75,urban,216.1,401.2,76.68968350659995,20.2,2.39,18.1,374,17.3,61.6,6.7
2023-01-03,Dehradun ISBT,Dehradun,ut,30.32,78.03,urban,196.2,279.8,64.27610885699079,17.5,2.54,14.8,359,13.0,54.7,3.4
